,edad,genero,salario,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaño_empresa,lenguaje_programacion
13496,30-44,Hombre,15K-39K,Mexico,Master,Data Analyst,3-5 years,Fabricación,Grande,"Python, SQL, Javascript, MATLAB"
13500,18-29,Mujer,No sabe/No contesta,Estados Unidos,Prefiero no responder,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup,"Python, R, SQL, C, C++, Java, Javascript, Julia, Swift, Bash, MATLAB, Other"
13503,18-29,Prefiero no decirlo,No sabe/No contesta,Indonesia,Prefiero no responder,Data Analyst,< 1 years,Fabricación,Mediana,"Python, SQL"
13507,45-59,Hombre,15K-39K,España,Master,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, Java"
13510,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL"
13514,18-29,Mujer,No sabe/No contesta,India,Prefiero no responder,Data Analyst,< 1 years,Académico/Educación,Startup,Python
13518,18-29,Hombre,15K-39K,Canada,Estudios Universitarios,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,"Python, R, SQL"
13520,30-44,Prefiero no decirlo,15K-39K,India,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Grande, Java
13534,30-44,Hombre,+40K,Australia,Master,Data Analyst,3-5 years,Energía/Minería,Mediana,"Python, SQL"
13548,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Académico/Educación,Pequeña,"Python, SQL, C++"
13550,45-59,Hombre,15K-39K,India,Prefiero no responder,Business Analyst,20+ years,Tecnológico,Multinacional," SQL, Other"
13554,18-29,Mujer,No sabe/No contesta,Egipto,Grado,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, C, C++, Java, Javascript"
13559,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,< 1 years,Gobierno/servicio público,Mediana, R
13577,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, SQL"
13590,18-29,Mujer,0-14K,Corea del Sur,Grado,Business Analyst,1-3 years,Tecnológico,Startup," SQL, C++, Javascript, MATLAB"
13592,30-44,Hombre,No sabe/No contesta,España,Grado,Data Analyst,3-5 years,Académico/Educación,Startup," SQL, C, Javascript, Bash"
13593,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Radio/Comunicaciones,Pequeña,Python
13623,45-59,Hombre,0-14K,Brasil,Master,Business Analyst,< 1 years,Tecnológico,Startup,"Python, R, SQL, Javascript"
13629,30-44,Hombre,15K-39K,Nigeria,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Mediana,Python
13631,18-29,Hombre,No sabe/No contesta,India,Estudios Universitarios,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional, Other
13633,18-29,Hombre,No sabe/No contesta,Kenia,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,Python
13641,18-29,Mujer,No sabe/No contesta,Estados Unidos,Estudios Universitarios,Business Analyst,1-3 years,,No sabe/No contesta,Python
13663,30-44,Hombre,0-14K,Otros,Estudios Universitarios,Business Analyst,< 1 years,Envío/Transporte,Multinacional,Python
13667,30-44,Hombre,0-14K,Rusia,Master,Data Analyst,5-10 years,Seguro/Evaluación de Riesgos,Grande,"Python, SQL"
13681,30-44,Hombre,+40K,Reino Unido,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, R, SQL"
13702,18-29,Hombre,15K-39K,Indonesia,Grado,Data Analyst,5-10 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, R, SQL, Bash"
13705,18-29,Mujer,0-14K,India,Prefiero no responder,Data Analyst,< 1 years,Marketing/CRM,Startup,Python
13710,30-44,Hombre,0-14K,India,Master,Data Analyst,5-10 years,Otros,Multinacional,"Python, SQL, Other"
13711,30-44,Hombre,15K-39K,Taiwan,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,Python
13712,18-29,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, SQL"
13717,45-59,Hombre,0-14K,Otros,Doctorado,Business Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, MATLAB"
13723,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup,"Python, SQL, Other"
13725,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
13742,18-29,Hombre,+40K,Estados Unidos,Grado,Data Analyst,3-5 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
13743,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
13747,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Médico/farmacéutico,Multinacional,"Python, SQL"
13756,18-29,Hombre,0-14K,Estados Unidos,Master,Business Analyst,I have never written code,Marketing/CRM,Startup,No sabe/No contesta
13759,45-59,Mujer,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Grande,"Python, SQL"
13762,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande,"Python, R, SQL, Bash"
13767,18-29,Hombre,+40K,Canada,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Startup,"Python, SQL, Java"
13774,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional, SQL
13782,18-29,Hombre,No sabe/No contesta,India,Prefiero no responder,Business Analyst,I have never written code,Energía/Minería,Startup,No sabe/No contesta
13784,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,,No sabe/No contesta, SQL
13789,30-44,Hombre,15K-39K,Ucrania,Master,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, SQL"
13803,18-29,Hombre,0-14K,India,Grado,Business Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL"
13822,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL"
13825,30-44,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Académico/Educación,Startup," R, SQL"
13826,30-44,Hombre,15K-39K,Filipinas,Master,Data Analyst,1-3 years,Otros,Multinacional, R
13835,45-59,Hombre,15K-39K,Otros,Estudios Universitarios,Data Analyst,< 1 years,Energía/Minería,Pequeña,"Python, R"
13836,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
13838,18-29,Hombre,0-14K,Taiwan,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
13842,18-29,Mujer,No sabe/No contesta,India,Master,Business Analyst,< 1 years,,No sabe/No contesta,"Python, R, SQL, MATLAB, Other"
13857,30-44,Mujer,+40K,Estados Unidos,Grado,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL"
13883,18-29,Mujer,No sabe/No contesta,Estados Unidos,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup,"Python, R, SQL, Bash"
13902,18-29,Hombre,No sabe/No contesta,India,Grado,Business Analyst,10-20 years,Energía/Minería,Multinacional,"Python, C, C++, MATLAB, Other"
13903,30-44,Hombre,No sabe/No contesta,Argentina,Master,Data Analyst,< 1 years,Tecnológico,Startup, SQL
13909,18-29,Hombre,15K-39K,India,Grado,Business Analyst,3-5 years,Tecnológico,Multinacional,Python
13927,30-44,Hombre,0-14K,Otros,Bachillerato,Data Analyst,5-10 years,Académico/Educación,Startup," R, Java, Swift"
13929,30-44,Hombre,15K-39K,Sudafrica,Grado,Business Analyst,< 1 years,Otros,Mediana,"Python, SQL, Other"
13941,18-29,Mujer,No sabe/No contesta,India,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, SQL, C++"
13946,30-44,Hombre,0-14K,Otros,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Grande,"Python, SQL, Java"
13947,18-29,Hombre,No sabe/No contesta,China,Estudios Universitarios,Data Analyst,< 1 years,Radio/Comunicaciones,Grande,"Python, C++, MATLAB"
13949,18-29,Mujer,No sabe/No contesta,Indonesia,Grado,Data Analyst,< 1 years,,No sabe/No contesta,"Python, R"
13951,18-29,Hombre,0-14K,Nigeria,Master,Data Analyst,< 1 years,Energía/Minería,Mediana,Python
13961,18-29,Hombre,0-14K,Nepal,Master,Data Analyst,3-5 years,Tecnológico,Mediana,"Python, SQL"
13967,30-44,Hombre,+40K,Corea del Sur,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
13973,30-44,Hombre,0-14K,India,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
13987,45-59,Hombre,0-14K,Polonia,Grado,Data Analyst,10-20 years,Radio/Comunicaciones,Grande,Python
13990,30-44,Hombre,15K-39K,India,Master,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, SQL"
13992,30-44,Hombre,No sabe/No contesta,Reino Unido,Master,Business Analyst,10-20 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, C++, Java, Bash, Other"
14000,18-29,Mujer,No sabe/No contesta,Egipto,Estudios Universitarios,Data Analyst,3-5 years,Otros,Startup,"Python, C++"
14005,30-44,Hombre,+40K,Australia,Grado,Business Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, R, SQL, Javascript, Other"
14007,45-59,Hombre,+40K,India,Master,Data Analyst,10-20 years,Seguro/Evaluación de Riesgos,Mediana,"Python, R, SQL, C, Java, Javascript"
14015,18-29,Hombre,No sabe/No contesta,Peru,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, SQL, Java"
14031,18-29,Hombre,No sabe/No contesta,Indonesia,Prefiero no responder,Data Analyst,1-3 years,Académico/Educación,No sabe/No contesta,"Python, R, SQL"
14035,18-29,Hombre,No sabe/No contesta,China,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,Python
14043,30-44,Hombre,15K-39K,China,Prefiero no responder,Business Analyst,20+ years,ONG/Servicio,Startup,"Python, SQL, C, C++, Java"
14044,30-44,Hombre,0-14K,Peru,Grado,Data Analyst,3-5 years,ONG/Servicio,Pequeña,"Python, R, SQL"
14054,30-44,Hombre,15K-39K,Peru,Master,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, SQL"
14068,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, SQL, C"
14083,30-44,Hombre,15K-39K,India,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
14103,30-44,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,10-20 years,ONG/Servicio,Startup,"Python, R, SQL, C, C++, MATLAB"
14139,18-29,Mujer,0-14K,India,Grado,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, R"
14142,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado,Data Analyst,< 1 years,Ventas al por menor,Pequeña, None
14144,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Académico/Educación,Grande,"Python, MATLAB"
14154,30-44,Hombre,0-14K,Ucrania,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, R, SQL"
14161,18-29,Hombre,No sabe/No contesta,Turquia,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Startup," R, SQL"
14165,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Marketing/CRM,Pequeña,"Python, SQL, Bash"
14170,30-44,Mujer,15K-39K,Israel,Grado,Business Analyst,< 1 years,Seguro/Evaluación de Riesgos,Pequeña,"Python, SQL"
14174,18-29,Hombre,0-14K,Corea del Sur,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Mediana,Python
14184,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,5-10 years,Contabilidad/Finanzas,Multinacional," R, SQL"
14195,18-29,Hombre,0-14K,India,Master,Business Analyst,1-3 years,Fabricación,Multinacional,Python
14210,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
14211,30-44,Hombre,+40K,Australia,Grado,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
14213,30-44,Prefiero no decirlo,No sabe/No contesta,Estados Unidos,Master,Data Analyst,3-5 years,Fabricación,Mediana,"Python, R, SQL, Bash"
14214,30-44,Mujer,0-14K,Egipto,Master,Business Analyst,I have never written code,Marketing/CRM,Pequeña,No sabe/No contesta
14223,45-59,Hombre,15K-39K,India,Doctorado,Business Analyst,3-5 years,Envío/Transporte,Grande," R, C"
14224,30-44,Hombre,No sabe/No contesta,Indonesia,Master,Data Analyst,< 1 years,Académico/Educación,Pequeña," SQL, Javascript, MATLAB"
14234,60-70+,Hombre,+40K,Estados Unidos,Grado,Data Analyst,5-10 years,Otros,Pequeña,"Python, R, SQL"
14237,18-29,Hombre,No sabe/No contesta,China,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, MATLAB"
14250,18-29,Mujer,15K-39K,Estados Unidos,Grado,Data Analyst,1-3 years,Ventas al por menor,Grande,"Python, R"
14251,60-70+,Mujer,No sabe/No contesta,Estados Unidos,Grado,Business Analyst,20+ years,Fabricación,Grande," SQL, Javascript, Other"
14258,30-44,Hombre,0-14K,Estados Unidos,Doctorado,Data Analyst,1-3 years,Académico/Educación,Startup, R
14267,18-29,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Fabricación,Multinacional,"Python, R, SQL"
14281,30-44,Hombre,0-14K,Japon,Master,Data Analyst,< 1 years,Fabricación,Grande," C, Bash"
14294,18-29,Hombre,+40K,Estados Unidos,Grado,Business Analyst,3-5 years,Otros,Multinacional,Python
14299,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional,"Python, R, SQL"
14316,18-29,Hombre,0-14K,Otros,Grado,Business Analyst,5-10 years,Contabilidad/Finanzas,Grande, Other
14319,30-44,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,3-5 years,Envío/Transporte,Grande,"Python, SQL"
14322,60-70+,Hombre,0-14K,Malasia,Master,Business Analyst,10-20 years,Tecnológico,Startup,"Python, SQL, C++"
14326,18-29,Hombre,0-14K,Kenia,Grado,Business Analyst,< 1 years,Contabilidad/Finanzas,Mediana,Python
14345,18-29,Mujer,No sabe/No contesta,Brasil,Master,Data Analyst,3-5 years,Seguro/Evaluación de Riesgos,Grande,"Python, R, SQL, Other"
14347,18-29,Mujer,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL, C"
14350,18-29,Mujer,0-14K,China,Master,Data Analyst,< 1 years,Académico/Educación,Mediana,"Python, SQL, C"
14357,30-44,Hombre,0-14K,Nigeria,Estudios Universitarios,Data Analyst,I have never written code,Fabricación,Mediana,No sabe/No contesta
14364,30-44,Hombre,+40K,India,Master,Data Analyst,< 1 years,Energía/Minería,Multinacional,"Python, SQL, Other"
14365,30-44,Hombre,+40K,Estados Unidos,Master,Business Analyst,20+ years,Gobierno/servicio público,Multinacional,"Python, R, SQL, C, C++, Java, Javascript, Julia, Swift, Bash, MATLAB"
14394,18-29,Mujer,0-14K,Brasil,Grado,Data Analyst,5-10 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
14401,18-29,Hombre,No sabe/No contesta,Otros,Prefiero no responder,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,Python
14407,18-29,Hombre,0-14K,Otros,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, MATLAB"
14410,45-59,Hombre,0-14K,Japon,Grado,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
14411,18-29,Hombre,+40K,Estados Unidos,Grado,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Pequeña,"Python, R, SQL"
14438,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Mediana,"Python, SQL"
14446,30-44,Hombre,0-14K,Arabia Saudi,Grado,Data Analyst,5-10 years,Académico/Educación,Multinacional,"Python, SQL"
14449,18-29,Mujer,0-14K,Israel,Grado,Business Analyst,< 1 years,Académico/Educación,Startup, SQL
14451,18-29,Hombre,+40K,Japon,Master,Data Analyst,1-3 years,Marketing/CRM,Grande,"Python, SQL"
14458,30-44,Hombre,0-14K,Alemania,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, SQL"
14463,30-44,Mujer,0-14K,India,Master,Data Analyst,5-10 years,Tecnológico,Pequeña,"Python, R, SQL, C, C++"
14470,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,ONG/Servicio,Multinacional,Python
14478,18-29,Hombre,No sabe/No contesta,Taiwan,Master,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, C++, Javascript, MATLAB"
14480,18-29,Hombre,0-14K,India,Master,Business Analyst,3-5 years,Energía/Minería,Multinacional,"Python, R"
14482,45-59,Hombre,+40K,Estados Unidos,Grado,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, Java"
14483,30-44,Hombre,+40K,Taiwan,Master,Data Analyst,1-3 years,Académico/Educación,Startup,Python
14485,30-44,Hombre,15K-39K,Estados Unidos,Master,Business Analyst,3-5 years,Académico/Educación,Startup," R, Other"
14491,30-44,Hombre,+40K,Irlanda,Estudios Universitarios,Data Analyst,10-20 years,Radio/Comunicaciones,Grande,"Python, SQL"
14493,18-29,Hombre,0-14K,India,Doctorado,Data Analyst,< 1 years,Académico/Educación,Startup," R, MATLAB"
14496,45-59,Hombre,+40K,Irlanda,Grado,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Mediana," SQL, Java, Other"
14498,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Doctorado,Data Analyst,20+ years,,No sabe/No contesta,"Python, SQL"
14500,18-29,Mujer,+40K,Estados Unidos,Grado,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional," R, SQL, Other"
14504,30-44,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,I have never written code,Ventas al por menor,Startup,No sabe/No contesta
14510,18-29,Hombre,+40K,Singapur,Master,Business Analyst,1-3 years,Otros,Multinacional,"Python, MATLAB"
14512,45-59,Hombre,+40K,Australia,Master,Data Analyst,10-20 years,Seguro/Evaluación de Riesgos,Startup,"Python, R, SQL, Java, Other"
14522,18-29,Mujer,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Tecnológico,Pequeña,"Python, SQL"
14524,30-44,Hombre,15K-39K,China,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
14527,60-70+,Hombre,+40K,Estados Unidos,Master,Data Analyst,20+ years,Académico/Educación,Grande,"Python, SQL, Other"
14529,45-59,Hombre,No sabe/No contesta,Australia,Master,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, Bash"
14530,30-44,Mujer,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Gobierno/servicio público,Multinacional,Python
14542,30-44,Hombre,0-14K,Otros,Master,Data Analyst,3-5 years,Fabricación,Pequeña,"Python, R, SQL"
14552,30-44,Hombre,0-14K,China,Prefiero no responder,Data Analyst,< 1 years,Tecnológico,Startup,"Python, Java, Javascript"
14572,30-44,Hombre,No sabe/No contesta,Australia,Grado,Data Analyst,20+ years,Seguro/Evaluación de Riesgos,Pequeña," SQL, Other"
14575,18-29,Hombre,No sabe/No contesta,China,Grado,Business Analyst,1-3 years,Académico/Educación,Startup,"Python, C, C++, MATLAB"
14584,18-29,Mujer,No sabe/No contesta,Egipto,Grado,Business Analyst,< 1 years,Contabilidad/Finanzas,No sabe/No contesta, Javascript
14588,30-44,Hombre,15K-39K,Chile,Grado,Data Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, R, SQL, Bash, Other"
14590,18-29,Mujer,No sabe/No contesta,China,Master,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL"
14602,30-44,Hombre,+40K,Canada,Grado,Business Analyst,1-3 years,Fabricación,Mediana, SQL
14610,30-44,Mujer,+40K,Estados Unidos,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional,"Python, SQL, Bash"
14614,45-59,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,,No sabe/No contesta,"Python, R, SQL"
14630,30-44,Mujer,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Energía/Minería,Grande,Python
14632,30-44,Hombre,0-14K,Hong Kong (S.A.R.),Grado,Data Analyst,3-5 years,Médico/farmacéutico,Multinacional,"Python, SQL"
14640,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Business Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL"
14672,18-29,Mujer,15K-39K,Polonia,Grado,Data Analyst,1-3 years,ONG/Servicio,Multinacional,"Python, R, SQL"
14680,18-29,Hombre,0-14K,Brasil,Estudios Universitarios,Business Analyst,3-5 years,Fabricación,Grande,"Python, SQL"
14681,18-29,Hombre,+40K,Estados Unidos,Grado,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional," R, SQL"
14685,30-44,Hombre,0-14K,India,Grado,Business Analyst,< 1 years,Envío/Transporte,Startup,"Python, R, SQL"
14686,30-44,Hombre,+40K,Reino Unido,Estudios Universitarios,Business Analyst,I have never written code,Gobierno/servicio público,Mediana,No sabe/No contesta
14690,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,5-10 years,Otros,Startup,"Python, SQL, Other"
14692,18-29,Mujer,15K-39K,Pakistan,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, C++"
14702,45-59,Mujer,+40K,Estados Unidos,Master,Data Analyst,I have never written code,Fabricación,Multinacional,No sabe/No contesta
14711,30-44,Mujer,15K-39K,Otros,Grado,Business Analyst,< 1 years,Gobierno/servicio público,Startup, R
14717,30-44,Hombre,0-14K,Rusia,Doctorado Profesional,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
14765,18-29,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, R"
14769,30-44,Hombre,No sabe/No contesta,Italia,Master,Data Analyst,1-3 years,,No sabe/No contesta,Python
14772,30-44,Hombre,15K-39K,Polonia,Master,Data Analyst,I have never written code,Ventas al por menor,Grande,No sabe/No contesta
14776,30-44,Hombre,15K-39K,India,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
14779,18-29,Hombre,0-14K,China,Grado,Data Analyst,1-3 years,Marketing/CRM,Mediana,"Python, SQL, C"
14780,30-44,Mujer,15K-39K,Otros,Master,Business Analyst,< 1 years,Energía/Minería,Grande," C, C++, MATLAB"
14789,30-44,Hombre,0-14K,Dinamarca,Master,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, R, SQL"
14810,18-29,Hombre,0-14K,Filipinas,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Grande,"Python, SQL"
14820,60-70+,Hombre,0-14K,Estados Unidos,Doctorado,Data Analyst,3-5 years,Fabricación,Startup, None
14823,30-44,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Médico/farmacéutico,Mediana,"Python, SQL"
14825,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,Python
14839,18-29,Mujer,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL, C, C++"
14842,30-44,Mujer,No sabe/No contesta,Otros,Grado,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, SQL"
14856,18-29,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
14858,30-44,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Otros,Grande,Python
14864,18-29,Hombre,0-14K,India,Grado,Business Analyst,< 1 years,Tecnológico,Pequeña,Python
14867,18-29,Hombre,+40K,Estados Unidos,Master,Data Analyst,3-5 years,Otros,Startup,"Python, R, SQL"
14879,45-59,Mujer,+40K,Reino Unido,Estudios Universitarios,Data Analyst,20+ years,Otros,Mediana," R, SQL"
14881,45-59,Mujer,0-14K,Canada,Master,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Pequeña, SQL
14885,30-44,Hombre,+40K,India,Master,Business Analyst,10-20 years,Tecnológico,Multinacional," C, C++"
14891,30-44,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Energía/Minería,Startup,Python
14895,45-59,Hombre,+40K,Estados Unidos,Bachillerato,Data Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, SQL"
14915,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Tecnológico,Startup,Python
14920,18-29,Hombre,No sabe/No contesta,Alemania,Master,Data Analyst,1-3 years,Tecnológico,Startup,"Python, R, SQL"
14925,30-44,Hombre,0-14K,India,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Pequeña,"Python, SQL, C, C++"
14926,18-29,Hombre,+40K,Estados Unidos,Master,Business Analyst,5-10 years,Otros,Multinacional,Python
14932,18-29,Hombre,No sabe/No contesta,Estados Unidos,Grado,Business Analyst,< 1 years,Académico/Educación,Mediana,"Python, SQL, Other"
14937,18-29,Mujer,0-14K,Arabia Saudi,Doctorado,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, R, SQL, C++, Java, Javascript, MATLAB"
14941,30-44,Hombre,0-14K,Tunez,Doctorado,Data Analyst,3-5 years,Académico/Educación,Pequeña,"Python, R, SQL, MATLAB"
14947,18-29,Hombre,15K-39K,China,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
14949,30-44,Mujer,15K-39K,Estados Unidos,Master,Data Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
14950,30-44,Hombre,+40K,Singapur,Grado,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, C, Java, Bash"
14964,45-59,Hombre,+40K,Otros,Doctorado,Business Analyst,5-10 years,Energía/Minería,Pequeña,"Python, MATLAB"
14968,18-29,Mujer,0-14K,Estados Unidos,Master,Data Analyst,I have never written code,Radio/Comunicaciones,Multinacional,No sabe/No contesta
14970,60-70+,Mujer,No sabe/No contesta,Estados Unidos,Grado,Data Analyst,5-10 years,Radio/Comunicaciones,Pequeña," R, SQL"
14978,30-44,Hombre,No sabe/No contesta,Argentina,Estudios Universitarios,Data Analyst,< 1 years,Fabricación,Pequeña,Python
14992,45-59,Hombre,0-14K,España,Bachillerato,Business Analyst,< 1 years,Otros,Startup,Python
15003,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Académico/Educación,Startup, SQL
15010,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,I have never written code,Tecnológico,Grande,No sabe/No contesta
15025,18-29,Hombre,+40K,Canada,Estudios Universitarios,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup," R, SQL"
15027,30-44,Mujer,0-14K,Colombia,Master,Data Analyst,5-10 years,Energía/Minería,Multinacional,"Python, R, Other"
15032,30-44,Hombre,No sabe/No contesta,Kenia,Grado,Data Analyst,I have never written code,ONG/Servicio,Mediana,No sabe/No contesta
15035,30-44,Mujer,+40K,Estados Unidos,Master,Data Analyst,< 1 years,Médico/farmacéutico,Pequeña,"Python, R, SQL"
